# Supplier-commodity combination of all 6 major global regions
# This is the most frequently used international supply chain framework
# Format: Supplier_Name, Commodity_Name, Country, Supplier_Tier, Industry_Sector

East Asia and Pacific: 
"Wilmar International", "Crude palm oil", "Singapore", 1, "Agriculture"
"Wilmar International", "Crude palm oil", "Indonesia", 1, "Agriculture"
"Wilmar International", "Crude palm oil", "Malaysia", 1, "Agriculture"
"Musim Mas Group", "Refined palm oil, specialty fats, oleochemicals. biodiesel", "Indonesia", 1, "Agriculture"
"Asian Agri", "Crude Palm Oil (CPO), Crude Palm Kernel Oil (CPKO)", "Indonesia", 1, "Agriculture"
"Harita Group", "Nickel ore, ferromickel, alumina", "Indonesia", 1, "Metals and Mining"
"Xiamen Xiangyu Co., Ltd.", "Stainless steel, bulk commodities", "China", 1, "Metals and Mining"
"TSD Resources Berhad", "Crude palm oil, palm kernel", "Malaysia", 1, "Agriculture"
"TSD Resources Berhad", "Crude palm oil, palm kernel", "Indonesia", 1, "Agriculture"
"TH Resources Berhad", "Crude palm oil", Malaysia, 2, "Agriculture"
"SD Guthrie", "Crude Palm Oil, RBD Palm Olein, RBD Palm Stearin, Palm Kernel Oil, Palm Kernel Stearin, Palm Fatty Acids", "Malaysia", 1, "Agriculture"
"SD Guthrie", "Crude Palm Oil, RBD Palm Olein, RBD Palm Stearin, Palm Kernel Oil, Palm Kernel Stearin, Palm Fatty Acids", "Indonesia", 1, "Agriculture"
"PT Aneka Tambang Tbk (Antam)", "Nickel ore, nickel mining", "Indonesia", 1, "Metals and Mining"
"PT Vale Indonesia Tbk", "Nickel in Matte", "Indonesia", 1, "Metals and Mining"
"Lygend Resources and Technology Co., Ltd.", "Mixed hydroxide percipitate (MHP) nickel", "Indonesia", 1, "Metals and Mining"
"Tsingshan Holding Group", "Ferronickel", "Indonesia", 1, "Metals"
"Tsingshan Holding Group", "Stainless steel, nickel, aluminium", "China", 1, "Metallurigical"
"Nickel Industries Limited", "Nickel ore", "Indonesia", 1, "Metals and Mining"
"Anglo Eastern Plantations PLC", "Crude oil, palm kernels", "Indonesia", 1, "Agriculture"
"Anglo Eastern Plantations PLC", "Crude oil, palm kernels", "Malaysia", 1, "Agriculture"
"Toyota Motor Corporation", "Automotive components, hybrid vehicle batteries", "Japan", 1, "Automotive/Energy"
"Toyota Tsusho", "Steel sheets, aluminium sheets", "Japan", 1, "Materials"
"Samsung Electronics", "Semiconductors", "South Korea", 1, "Electronics/Semiconductors"
"Samsung Display", "AMOLED display panels", "South Korea", 1, "Electronics"
"Samsung SDI", "Lithium-ion battery cells", "South Korea", 1, "Energy"
"Sony Semiconductor Manufacturing", "CMOS image sensors", "Japan", 1, "Semiconductors"
"Sony Supply Chain Solutions", "Optical components", "Japan", 1, "Electronics"
"LG Electronics", "Home appliance components", "South Korea", 1, "Electronics"
"LG Display", "OLED panels", "South Korea", 1, "Technology"
"LG Chem", "EV battery materials", "South Korea", 1, "Chemicals/Energy"
"Unilever Asia", "Packaged consumer goods", "Singapore", 1, "FMCG"
"Panasonic Corporation", "Lithium-ion battery cells", "Japan", 1, "Energy"
"Panasonic Appliances", "Consumer appliances parts", "Japan", 1, "Electronics"
"Lenovo Group Limited", "Laptops, servers, PC components", "China", 1, "Electronics/IT"
"Lenovo Manufacturing China", "Motherboards, storage drives", "China", 1, "Electronics"
"BYD Company", "Electric vehicles", "China", 1, "Automotive"
